,Unnamed: 0,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,normal_modes_config,graph,FullStateSave,stats,seed,location_2,location_3,location_4,location_err,AF_time,Hamming_dis_arr,per_%,title,mean,variance,in AF?,multiplier,AF_time_real,AF_beat,10_before_fib,3_before_fib,Fib_beat,5_after_fib,Periodicity,amp,off,Ham_dis_80
140,140,100,100,10000,0.25,25,0.55,10,0,"[7, 0.4, 0.8]",False,full,False,1042236081,5610,5408,5408,True,"(4923, 5123)","[[2.346405331038968, 3.3166247903554, 3.3643942896411847, 3.837421849577253, 3.9658871478605158, 4.444387170306793, 4.414578773464852, 4.927054096411518, 5.191338940966964, 5.342908072077104, 6.266213537597121, 5.47233300991712, 6.440361858588787, 8.139784859624706, 11.760036963707005, 14.291605927956452]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,1042236081",0.7862333333333333,0.052562478888888896,True,1,5023,25.0,4.31065581811797,5.600153516880397,6.266213537597121,9.220824523958814,7.0,0.4,0.8,30.973131140869782
141,141,100,100,10000,0.25,25,0.55,10,0,"[8, 0.4, 0.8]",False,full,False,3457997581,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,3457997581",0.7851766666666666,0.052734602122222224,False,1,False,False,False,False,False,False,8.0,0.4,0.8,12.92515819091426
142,142,100,100,10000,0.25,25,0.55,10,0,"[8, 0.4, 0.8]",False,full,False,3275150104,7344,7344,7344,True,"(2361, 2561)","[[12.18817584525193, 14.640565352682042, 13.910091811544865, 13.073510112692256, 10.990637727041085, 10.276905950643286, 10.350241543075215, 9.950542591856005, 9.97752576584813, 9.94702462895675, 9.89662476898977, 9.513789735008402, 10.916875052850072, 10.05698051817031, 12.796381067358558, 12.722864737499682]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,3275150104",0.7837333333333334,0.05204495111111112,True,1,2461,12.0,11.381986008961938,9.940391721264884,9.89662476898977,11.201378222177405,8.0,0.4,0.8,12.436448665553593
143,143,100,100,10000,0.25,25,0.55,10,0,"[8, 0.4, 0.8]",False,full,False,2373193837,1745,1745,1745,True,"(1560, 1760)","[[8.792041856133306, 9.72440354933113, 10.543560435956474, 13.089291251039741, 10.856902892884873, 10.676354063184407, 11.484537772289196, 10.900253849364361, 8.74192173679071, 9.273056849460879, 9.619368901571251, 8.789028604431994, 7.022097916928359, 9.00277734924062, 9.930049463771123, 11.177219357163015]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,2373193837",0.7851699999999999,0.0533599599888889,True,1,1660,8.0,10.336517559818759,9.211449162607613,9.619368901571251,9.18423453830702,8.0,0.4,0.8,13.134623980292858
144,144,100,100,10000,0.25,25,0.55,10,0,"[9, 0.4, 0.8]",False,full,False,832859892,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,832859892",0.7856133333333334,0.0512688016,False,1,False,False,False,False,False,False,9.0,0.4,0.8,11.305031801222862
145,145,100,100,10000,0.25,25,0.55,10,0,"[9, 0.4, 0.8]",False,full,False,2402213573,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,2402213573",0.7816166666666667,0.053285053055555545,False,1,False,False,False,False,False,False,9.0,0.4,0.8,10.718069902382629
146,146,100,100,10000,0.25,25,0.55,10,0,"[9, 0.4, 0.8]",False,full,False,3910399894,8940,8940,8940,True,"(4354, 4554)","[[9.312640588215283, 8.406877853168512, 8.856494791959175, 8.668944711418947, 9.694766925879467, 11.607177197751398, 11.810584193421551, 13.208960425181788, 13.611103405761417, 12.39842944213415, 9.198889346947887, 8.913727921276566, 8.729397513710836, 8.547254269972056, 8.400731465570514, 10.453245851753861]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,3910399894",0.7801633333333333,0.05256883998888889,True,1,4454,22.0,10.615897171076325,11.736140731614483,9.198889346947887,9.008871404456768,9.0,0.4,0.8,9.76264198513215
147,147,100,100,10000,0.25,25,0.55,10,0,"[10, 0.4, 0.8]",False,full,False,3291240807,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,3291240807",0.78659,0.050527171900000015,False,1,False,False,False,False,False,False,10.0,0.4,0.8,11.046024715307118
148,148,100,100,10000,0.25,25,0.55,10,0,"[10, 0.4, 0.8]",False,full,False,2349057641,5865,5865,5865,True,"(982, 1182)","[[13.505382217368352, 10.865586758650272, 8.514693182963201, 8.975274678557506, 10.57849206560285, 11.247788898358682, 12.863408946295152, 11.670115200161769, 10.187939813674738, 10.342585371412143, 9.289258451601247, 8.774286024406502, 8.702538550054797, 8.26069793872059, 9.066493186524696, 11.047101952026221]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,2349057641",0.7827333333333333,0.05189786222222223,True,1,1082,5.0,10.730956871331445,9.939927878896043,9.289258451601247,9.170223530346561,10.0,0.4,0.8,11.341282523151119
149,149,100,100,10000,0.25,25,0.55,10,0,"[10, 0.4, 0.8]",False,full,False,1332465412,False,False,False,False,False,False,1.0,"100,100,10000,0.25,25,Normal Modes,10,1332465412",0.7812766666666666,0.052431547900000014,False,1,False,False,False,False,False,False,10.0,0.4,0.8,10.461099730485303
